,Flower Name,Season,Plant Type,Blooms,Zones,Sun Needs,Soil Needs,Features,Picture Link
74,Golden Marguerite,Summer,Flower,Entire Summer,3 --7,Full Sun,Well-drained,Good for cut flowers,https://www.proflowers.com/blog/wp-content/plugins/pf-flowertypes/image/golden-yellow-flowers-957729.jpg
75,Gomphrena,Summer,Flower, Mid Summer,7 --10,Full Sun,Well-drained,Good for cut flowers,https://www.proflowers.com/blog/wp-content/plugins/pf-flowertypes/image/globe-amaranth-969222.jpg
76,Heliotrope,Summer,Flower, Mid Summer,10 --11,All Sun Types,Well-drained,Attracts butterflies,https://www.proflowers.com/blog/wp-content/plugins/pf-flowertypes/image/valerian-413021.jpg
77,Hepatica,Spring,Flower,Early Spring ,5 --8,Partial Shade / Full Shade,Well-drained,Non-invasive,https://www.proflowers.com/blog/wp-content/plugins/pf-flowertypes/image/hepatica-748456.jpg
78,Hollyhock,Summer,Flower,Mid Summer,3 --9,All Sun Types,Well-drained,Non-invasive,https://www.proflowers.com/blog/wp-content/plugins/pf-flowertypes/image/stock-rose-380072.jpg
79,Hosta,Summer,Flower,Entire Summer,3 --9,Partial Shade / Full Shade,Well-drained,Non-invasive,https://www.proflowers.com/blog/wp-content/plugins/pf-flowertypes/image/hosta-837182.jpg
80,Hyacinth,Summer,Flower,Mid Summer,4 --9,Full Sun,Well-drained,Non-invasive,https://www.proflowers.com/blog/wp-content/plugins/pf-flowertypes/image/hyacinth-21687.jpg
81,Hyssop,Summer,Flower, Mid Summer,3 --10,Full Sun,Well-drained,Good for cut flowers,https://www.proflowers.com/blog/wp-content/plugins/pf-flowertypes/image/hyssopus-officinalis-002.jpg
82,Impatiens,Summer,Flower,Early Summer ,8 --10,Partial Shade / Full Shade,Well-drained,Non-invasive,https://www.proflowers.com/blog/wp-content/plugins/pf-flowertypes/image/impatiens-666480.jpg
83,Iris,Spring,Flower,Early Spring ,3 --9,All Sun Types,Well-drained,Good for cut flowers,https://www.proflowers.com/blog/wp-content/plugins/pf-flowertypes/image/iris-639410.jpg
84,Jack-in-the-Pulpit,Spring,Flower,Mid Spring ,4 --9,All Sun Types,Well-drained,Non-invasive,https://www.proflowers.com/blog/wp-content/plugins/pf-flowertypes/image/jack-in-the-pulpit-907415.jpg
85,Jacob’s Ladder,Spring,Flower,Late Spring ,3 --9,All Sun Types,Well-drained,Non-invasive,https://www.proflowers.com/blog/wp-content/plugins/pf-flowertypes/image/vogelaeuglein-167240.jpg
86,Lady's Mantle,Summer,Flower,Entire Summer,3 --7,All Sun Types,Well-drained,Good for cut flowers,https://www.proflowers.com/blog/wp-content/plugins/pf-flowertypes/image/ladys-mantle-alchemilla-vulgaris-2816px.jpg
87,Lantana,Summer,Flower,Mid Summer,2 --11,Full Sun,Well-drained,Tolerates frost,https://www.proflowers.com/blog/wp-content/plugins/pf-flowertypes/image/lantana-699796.jpg
88,Lavender,Summer,Flower,Entire Summer,5 --9,Full Sun,Well-drained,Good for cut flowers,https://www.proflowers.com/blog/wp-content/plugins/pf-flowertypes/image/lavender-810522.jpg
89,Lavender Cotton,Summer,Flower, Mid Summer,6 --8,Full Sun,Well-drained,Non-invasive,https://www.proflowers.com/blog/wp-content/plugins/pf-flowertypes/image/lavender-cotton-341934.jpg
90,Leadwort,Summer,Flower,Late Summer ,5 --8,Full Sun / Partial Shade,Well-drained,Non-invasive,https://www.proflowers.com/blog/wp-content/plugins/pf-flowertypes/image/flowers-195967.jpg
91,Lemon Balm,Summer,Flower,Early Summer,3 --7,Full Sun / Partial Shade,Well-drained,Attracts bees,https://www.proflowers.com/blog/wp-content/plugins/pf-flowertypes/image/lemon-balm-787626.jpg
92,Lily,Spring,Flower,Entire Spring ,4 --8,Full Sun,Well-drained,Good for cut flowers,https://www.proflowers.com/blog/wp-content/plugins/pf-flowertypes/image/lily.jpg
93,Lobelia,Summer,Flower,Early Summer,2 --10,Full Sun / Partial Shade,Well-drained,Attracts butterflies,https://www.proflowers.com/blog/wp-content/plugins/pf-flowertypes/image/lobelia-777674.jpg
94,Lupine,Summer,Flower,Entire Summer,3 --9,Full Sun / Partial Shade,Well-drained,Good for cut flowers,https://www.proflowers.com/blog/wp-content/plugins/pf-flowertypes/image/beautiful-2223.jpg
95,Maiden Pink,Spring,Flower,Late Spring ,3 --9,Full Sun / Partial Shade,Well-drained,Non-invasive,https://www.proflowers.com/blog/wp-content/plugins/pf-flowertypes/image/maiden-pink-546015.jpg
96,Malva,Summer,Flower,Entire Summer,4 --9,Full Sun,Well-drained,Good for cut flowers,https://www.proflowers.com/blog/wp-content/plugins/pf-flowertypes/image/flower-774761.jpg
97,Marigold,Summer,Flower,Early Summer,2 --10,Full Sun,Well-drained,Good for cut flowers,https://www.proflowers.com/blog/wp-content/plugins/pf-flowertypes/image/flower-669579.jpg
98,Mazus,Spring,Flower,Late Spring ,3 --9,Full Sun / Partial Shade,Well-drained,Non-invasive,https://www.proflowers.com/blog/wp-content/plugins/pf-flowertypes/image/mazus-pumilus-flower.jpg
99,Mirabilis,Summer,Flower, Mid Summer,7 --11,Full Sun / Partial Shade,Well-drained,Attracts hummingbirds,https://www.proflowers.com/blog/wp-content/plugins/pf-flowertypes/image/mirabilis-jalapa-402433.jpg
100,Moonflower,Summer,Flower,Early Summer ,10 --11,Full Sun,Well-drained,Attracts hummingbirds,https://www.proflowers.com/blog/wp-content/plugins/pf-flowertypes/image/ipomoea-alba.jpg
101,Morning Glory,Summer,Flower,Early Summer,2 --11,Full Sun,Well-drained,Attracts hummingbirds,https://www.proflowers.com/blog/wp-content/plugins/pf-flowertypes/image/sky-blue-morning-glory-8793.jpg
102,Nasturtium,Summer,Flower,Early Summer ,9 --11,Full Sun,Well-drained,Good for cut flowers,https://www.proflowers.com/blog/wp-content/plugins/pf-flowertypes/image/nasturtium-686987.jpg
103,Nierembergia,Summer,Flower, Mid Summer,7 --10,Full Sun / Partial Shade,Well-drained,Good for cut flowers,https://www.proflowers.com/blog/wp-content/plugins/pf-flowertypes/image/nierembergia-frutescens.jpg
104,Orchid,Spring,Flower,Early Spring ,2 --8,Full Sun / Partial Shade,Well-drained,Good for cut flowers,https://www.proflowers.com/blog/wp-content/plugins/pf-flowertypes/image/orchid-648410.jpg
105,Osteospermum,Summer,Flower, Mid Summer,9 --11,Full Sun,Well-drained,Good for cut flowers,https://www.proflowers.com/blog/wp-content/plugins/pf-flowertypes/image/african-daisy-338121.jpg
106,Pansy,Spring,Flower,Entire Spring,2 --11,Full Sun / Partial Shade,Well-drained,Tolerates frost,https://www.proflowers.com/blog/wp-content/plugins/pf-flowertypes/image/pansy-826463.jpg
107,Pearly Everlasting,Summer,Flower, Mid Summer,3 --8,Full Sun / Partial Shade,Damp,Good for cut flowers,https://www.proflowers.com/blog/wp-content/plugins/pf-flowertypes/image/14939471371-f714900331.jpg
108,Perennial Flax,Summer,Flower,Entire Summer,5 --9,Full Sun,Well-drained,Tolerates heat,https://www.proflowers.com/blog/wp-content/plugins/pf-flowertypes/image/linum-narbonense-flor.jpg
109,Periwinkle,Spring,Flower,Mid Spring ,2 --11,Full Sun / Partial Shade,Droughty,Tolerates heat,https://www.proflowers.com/blog/wp-content/plugins/pf-flowertypes/image/periwinkle-166913.jpg
110,Petunia,Summer,Flower,Early Summer ,8 --11,Full Sun,Well-drained,Attracts butterflies and hummingbirds,https://www.proflowers.com/blog/wp-content/plugins/pf-flowertypes/image/petunia-662536.jpg
111,Pincushion Flower,Summer,Flower,Early Summer,3 --11,Full Sun,Well-drained,Good for cut flowers,https://www.proflowers.com/blog/wp-content/plugins/pf-flowertypes/image/field-scabious-167397.jpg
112,Polka Dot Plant,Summer,Flower,Mid Summer,10 --12,Partial Shade,Well-drained,Deer resistant,https://www.proflowers.com/blog/wp-content/plugins/pf-flowertypes/image/hypoestes-phyllostachya1.jpg
113,Primrose,Spring,Flower,Entire Spring,3 --8,Partial Shade,Well-drained,Non-invasive,https://www.proflowers.com/blog/wp-content/plugins/pf-flowertypes/image/flower-737864.jpg
114,Ranunculus,Spring,Flower,Early Spring ,4 --7,Full Sun,Well-drained,Good for cut flowers,https://www.proflowers.com/blog/wp-content/plugins/pf-flowertypes/image/flower-663507.jpg
115,Red Valerian,Summer,Flower,Mid Summer,5 --8,Full Sun,Well-drained,Good for cut flowers,https://www.proflowers.com/blog/wp-content/plugins/pf-flowertypes/image/centranthus-ruber-884234.jpg
116,Rock Soapwort,Spring,Flower,Early Spring ,2 --9,Full Sun,Well-drained,Deer resistant,https://www.proflowers.com/blog/wp-content/plugins/pf-flowertypes/image/caryophillaceae-saponaria-ocymoides-2.jpg
117,Rose,Spring,Flower,Late Spring ,2 --11,Full Sun,Well-drained,Good for cut flowers,https://www.proflowers.com/blog/wp-content/plugins/pf-flowertypes/image/rose-113735.jpg
118,Rue,Summer,Flower, Mid Summer,4 --9,Full Sun / Partial Shade,Well-drained,Good for pressed flowers,https://www.proflowers.com/blog/wp-content/plugins/pf-flowertypes/image/meadow-rue-909022.jpg
119,Sanvitalia,Summer,Flower,Early Summer ,10 --11,Full Sun,Well-drained,Non-invasive,https://www.proflowers.com/blog/wp-content/plugins/pf-flowertypes/image/flower-679333.jpg
120,Scarlet Sage,Summer,Flower, Mid Summer,3 --10,Full Sun / Partial Shade,Well-drained,Deer resistant,https://www.proflowers.com/blog/wp-content/plugins/pf-flowertypes/image/fire-sage-228379.jpg
121,Sea Lavender,Summer,Flower, Mid Summer,3 --9,Full Sun,Well-drained,Good for cut flowers,https://www.proflowers.com/blog/wp-content/plugins/pf-flowertypes/image/winged-beach-lilac-375590.jpg
122,Sea Thrift,Spring,Flower,Late Spring ,4 --8,Full Sun,Well-drained,Non-invasive,https://www.proflowers.com/blog/wp-content/plugins/pf-flowertypes/image/flowers-14448.jpg
123,Shirley Poppy,Spring,Flower,Late Spring ,3 --9,Full Sun,Well-drained,Good for cut flowers,https://www.proflowers.com/blog/wp-content/plugins/pf-flowertypes/image/poppies-381612.jpg
124,Shooting Star,Spring,Flower,Late Spring ,4 --8,Partial Shade / Full Shade,Well-drained,Non-invasive,https://www.proflowers.com/blog/wp-content/plugins/pf-flowertypes/image/372840525-f193108fe4.jpg
125,Silvermound,Summer,Flower,Mid Summer, 4 --8,Full Sun / Partial Shade,Well-drained,Tolerates heat,https://www.proflowers.com/blog/wp-content/plugins/pf-flowertypes/image/artemisia-schmidtiana-parc-de-bercy.jpg
126,Skunk Cabbage,Spring,Flower,Early Spring ,4 --9,Full Sun / Partial Shade,Damp,Non-invasive,https://www.proflowers.com/blog/wp-content/plugins/pf-flowertypes/image/yellow-skunk-cabbage-605523.jpg
127,Snapdragon,Summer,Flower, Mid Summer,9 --10,Full Sun,Well-drained,Good for cut flowers,https://www.proflowers.com/blog/wp-content/plugins/pf-flowertypes/image/yellow-144061.jpg
128,Snow in Summer,Spring,Flower,Late Spring ,3 --7,Full Sun,Well-drained,Deer resistant,https://www.proflowers.com/blog/wp-content/plugins/pf-flowertypes/image/cerastium-tomentosum-flower.jpg
129,Snowdrop,Spring,Flower,Early Spring,3 --9,Partial Shade,Well-drained,Non-invasive,https://www.proflowers.com/blog/wp-content/plugins/pf-flowertypes/image/snowdrop-523667.jpg
130,Solomon's Seal,Spring,Flower,Mid Spring ,3 --9,Full Sun / Partial Shade/Full Shade,Well-drained,Deer resistant,https://www.proflowers.com/blog/wp-content/plugins/pf-flowertypes/image/polygonatum-odoratum-338936.jpg
131,Entire Spring Snowflake,Spring,Flower,Early Spring,4 --8 ,Full Sun / Partial Shade,Well-drained,Non-invasive,https://www.proflowers.com/blog/wp-content/plugins/pf-flowertypes/image/snowflake-5665.jpg
132,Summer Savory,Summer,Flower, Mid Summer,5 --8,Full Sun,Well-drained,Good for pressed flowers,https://www.proflowers.com/blog/wp-content/plugins/pf-flowertypes/image/summer-savory-115371.jpg
133,Sunflower,Summer,Flower,Early Summer ,3 --10,Full Sun,Well-drained,Good for cut flowers,https://www.proflowers.com/blog/wp-content/plugins/pf-flowertypes/image/sunflower-290496.jpg
134,Sweet Alyssum,Spring,Flower,Late Spring ,7 --11,Full Sun / Partial Shade,Damp,Attracts butterflies,https://www.proflowers.com/blog/wp-content/plugins/pf-flowertypes/image/little-dorrit-322525.jpg
135,Sweet Woodruff,Spring,Flower,Late Spring,5 --8,Partial Shade / Full Shade,Well-drained,Deer resistant,https://www.proflowers.com/blog/wp-content/plugins/pf-flowertypes/image/8743214671-165e278b8f.jpg
136,Tansy,Summer,Flower, Mid Summer,4 --8,Full Sun,Well-drained,Good for pressed flowers,https://www.proflowers.com/blog/wp-content/plugins/pf-flowertypes/image/tansy-10381.jpg
137,Thunbergia,Summer,Flower, Mid Summer,9 --10,Full Sun,Well-drained,Non-invasive,https://www.proflowers.com/blog/wp-content/plugins/pf-flowertypes/image/black-eyed-susan-407767.jpg
138,Tithonia,Summer,Flower,Mid Summer,10 --11,Full Sun,Well-drained,Good for cut flowers,https://www.proflowers.com/blog/wp-content/plugins/pf-flowertypes/image/tithonia-diversifolia-765106.jpg
139,Torenia,Summer,Flower,Mid Summer,2 --11,Partial Shade,Well-drained,Attracts hummingbirds,https://www.proflowers.com/blog/wp-content/plugins/pf-flowertypes/image/8225263728-e0f786f37d.jpg
140,Trillium,Spring,Flower,Late Spring,3 --9,Partial Shade,Well-drained,Non-invasive,https://www.proflowers.com/blog/wp-content/plugins/pf-flowertypes/image/trillium-179717.jpg
141,Tulip,Spring,Flower,Entire Spring,4 --8,Full Sun,Well-drained,Good for cut flowers,https://www.proflowers.com/blog/wp-content/plugins/pf-flowertypes/image/tulip-271352.jpg
142,Verbena,Summer,Flower, Mid Summer,7 --9,Full Sun,Well-drained,Good for cut flowers,https://www.proflowers.com/blog/wp-content/plugins/pf-flowertypes/image/flowers-756181.jpg
143,Violet,Spring,Flower,Early Spring ,3 --9,Full Sun / Partial Shade,Well-drained,Non-invasive,https://www.proflowers.com/blog/wp-content/plugins/pf-flowertypes/image/plant-978227.jpg
144,Virginia Bluebell,Spring,Flower,Mid Spring,4 --9,Partial Shade,Damp,Non-invasive,https://www.proflowers.com/blog/wp-content/plugins/pf-flowertypes/image/virginiabluebells.jpg
145,Wild Senna,Summer,Flower,Mid Summer,4 --7,Full Sun,Well-drained,Attracts butterflies and hummingbirds,https://www.proflowers.com/blog/wp-content/plugins/pf-flowertypes/image/senna-multiglandulosa-5.jpg
146,Windflower,Spring,Flower,Early Spring,4 --8,Full Sun / Partial Shade,Well-drained,Deer resistant,https://www.proflowers.com/blog/wp-content/plugins/pf-flowertypes/image/anemone-nemorosa-18303.jpg
147,Yarrow,Summer,Flower,Mid Summer,3 --10,Full Sun,Well-drained,Deer resistant,https://www.proflowers.com/blog/wp-content/plugins/pf-flowertypes/image/yarrow-181683.jpg
148,Yellow Archangel,Spring,Flower,Late Spring ,3 --9,Partial Shade / Full Shade,Well-drained,Deer resistant,https://www.proflowers.com/blog/wp-content/plugins/pf-flowertypes/image/dead-nettle-474348.jpg
149,Yellow Loosestrife,Summer,Flower, Mid Summer,3 --9,Full Sun / Partial Shade,Damp,Good for cut flowers,https://www.proflowers.com/blog/wp-content/plugins/pf-flowertypes/image/loosestrife-8153.jpg
150,Zinnia,Summer,Flower,Mid Summer,2 --11,Full Sun,Well-drained,Good for cut flowers,https://www.proflowers.com/blog/wp-content/plugins/pf-flowertypes/image/zinnia-413564.jpg
