,State,Produce1,Produce2,Season1,Plant Type1,Season2,Plant Type2,Picture Link1,Picture Link2
0,Alabama,Blackberries, Peanuts,,fruit,,,"https://purewows3.imgix.net/images/articles/2016_10/blackberries.png?auto=format,compress&cs=strip",https://i.insider.com/5c5b5e99eb3ce84c0f72abc3
1,Alaska,Cabbage , Potatoes,,,,,"https://purewows3.imgix.net/images/articles/2016_10/cabage.png?auto=format,compress&cs=strip",https://i.insider.com/5bb78a1b011455071c0b3eec
2,Arizona,Lettuce, Lettuce,,,,,"https://purewows3.imgix.net/images/articles/2016_10/lettuce.png?auto=format,compress&cs=strip",https://i.insider.com/5a58f55b55ac5635008b4579
3,Arkansas,Watermelon, Rice,,,,,"https://purewows3.imgix.net/images/articles/2016_10/melon.png?auto=format,compress&cs=strip",https://i.insider.com/5c5c4e24eb3ce8306b545ed8
4,California, Avocados, Grapes,,,,,"https://purewows3.imgix.net/images/articles/2016_10/california.png?auto=format,compress&cs=strip",https://i.insider.com/5aba6f5c32167424008b45b7
5,Colorado,Marijuana, Sugar beet,,,,,"https://purewows3.imgix.net/images/articles/2016_10/marijuana.png?auto=format,compress&cs=strip",https://i.insider.com/5c5c6828eb3ce84096503a93
6,Connecticut,Asian Pears, Apples,,,,,"https://purewows3.imgix.net/images/articles/2016_10/conn.png?auto=format,compress&cs=strip",https://i.insider.com/5c5b6371eb3ce817082d3713
7,Delaware,Strawberries, Watermelon,,,,,"https://purewows3.imgix.net/images/articles/2016_10/delaware.png?auto=format,compress&cs=strip",https://i.insider.com/594bd0f2298d4a22008b45b6
8,Florida,Honeybell Oranges, Oranges,,,,,"https://purewows3.imgix.net/images/articles/2016_10/florida.png?auto=format,compress&cs=strip",https://i.insider.com/56b10610dd0895bc798b46eb
9,Georgia,Peaches, Blueberries,,,,,"https://purewows3.imgix.net/images/articles/2016_10/georgia.png?auto=format,compress&cs=strip",https://i.insider.com/55d36369371d22472c8be8f5
10,Hawaii,Pineapple, Macadamia nuts,,,,,"https://purewows3.imgix.net/images/articles/2016_10/pineapple.png?auto=format,compress&cs=strip",https://i.insider.com/5c5c7313eb3ce84286044ca3
11,Idaho,Russet Potatoes, Potatoes,,,,,"https://purewows3.imgix.net/images/articles/2016_10/idah.png?auto=format,compress&cs=strip",https://i.insider.com/5bb788bd01145533656c2c95
12,Illinois,Soybeans, Pumpkins,,,,,"https://purewows3.imgix.net/images/articles/2016_10/soybean.png?auto=format,compress&cs=strip",https://i.insider.com/5c5c7721eb3ce802602fe205
13,Indiana,Winter Wheat, Tomatoes,,,,,"https://purewows3.imgix.net/images/articles/2016_10/wheat.png?auto=format,compress&cs=strip",https://i.insider.com/5b71d7abbda1c729008b45af
14,Iowa,Corn, Soybeans,,,,,"https://purewows3.imgix.net/images/articles/2016_10/corn.png?auto=format,compress&cs=strip",https://i.insider.com/5ba28e869c888df6038b4568
15,Kansas,Sorghum, Wheat,,,,,"https://purewows3.imgix.net/images/articles/2016_10/kansas.png?auto=format,compress&cs=strip",https://i.insider.com/5c5c5ca8eb3ce86aa00c2c74
16,Kentucky,Bourbon, Corn,,,,,"https://purewows3.imgix.net/images/articles/2016_10/bourbon.png?auto=format,compress&cs=strip",https://i.insider.com/5c5c9092eb3ce8076751f705
17,Louisiana,Sugarcane, Sweet potatoes,,,,,"https://purewows3.imgix.net/images/articles/2016_10/louisianna.png?auto=format,compress&cs=strip",https://i.insider.com/5c005a298c39b60e7324b2d2
18,Maine,Blueberries, Potatoes,,,,,"https://purewows3.imgix.net/images/articles/2016_10/blueberry.png?auto=format,compress&cs=strip",https://i.insider.com/5c5c92f9eb3ce80fce619f34
19,Maryland,Crabs, Spinach,,,,,"https://purewows3.imgix.net/images/articles/2016_10/crabs.png?auto=format,compress&cs=strip",https://i.insider.com/5acbc606facba849008b45c0
20,Massachusetts,Cranberries, Cranberries,,,,,"https://purewows3.imgix.net/images/articles/2016_10/mass.png?auto=format,compress&cs=strip",https://i.insider.com/5c5c9630eb3ce849f977e552
21,Michigan,Cherries, Cherries,,,,,"https://purewows3.imgix.net/images/articles/2016_10/michigan.png?auto=format,compress&cs=strip",https://i.insider.com/5c5c980beb3ce84a622cfa54
22,Minnesota,Honeycrisp Apples, Beans,,,,,"https://purewows3.imgix.net/images/articles/2016_10/minnesota.png?auto=format,compress&cs=strip",https://i.insider.com/5b325f1a5e48ec1c008b4570
23,Mississippi,Maize, Rice,,,,,"https://purewows3.imgix.net/images/articles/2016_10/maize.png?auto=format,compress&cs=strip",https://i.insider.com/5c632101eb3ce8208c21fc64
24,Missouri, Hay, Soybeans,,,,,"https://purewows3.imgix.net/images/articles/2016_10/missouri.png?auto=format,compress&cs=strip",https://i.insider.com/5c5c9af5eb3ce84b5777ef53
25,Montana,Beans, Lentils,,,,,"https://purewows3.imgix.net/images/articles/2016_10/beans.png?auto=format,compress&cs=strip",https://i.insider.com/5c5c9c6beb3ce812b73b2353
26,Nebraska,Sugar beets, Corn,,,,,"https://purewows3.imgix.net/images/articles/2016_10/sugarbeet.png?auto=format,compress&cs=strip",https://i.insider.com/5ba2720b9c888d19078b456b
27,Nevada,Alfalfa Seed, Barley,,,,,"https://purewows3.imgix.net/images/articles/2016_10/alflfa.png?auto=format,compress&cs=strip",https://i.insider.com/5b52235a51dfbe2d008b45c4
28,New Hampshire, Pumpkins, Apples,,,,,"https://purewows3.imgix.net/images/articles/2016_10/pumpkin.png?auto=format,compress&cs=strip",https://i.insider.com/5c5c9f17eb3ce8134367a4e8
29,New Jersey,Tomatoes, Tomatoes,,,,,"https://purewows3.imgix.net/images/articles/2016_10/tomatoes.png?auto=format,compress&cs=strip",https://i.insider.com/5c5c9ff8eb3ce84ca62ec034
30,New Mexico,Green Chile Peppers, Chile peppers,,,,,"https://purewows3.imgix.net/images/articles/2016_10/newmexico.png?auto=format,compress&cs=strip",https://i.insider.com/58c6f8170beac522008b4a4b
31,New york,Cortland Apples, Cabbage,,,,,"https://purewows3.imgix.net/images/articles/2016_10/apple.png?auto=format,compress&cs=strip",https://i.insider.com/598a170eb9cd6c2f008b490b
32,North Carolina,Sweet Potatoes, Sweet potato,,,,,"https://purewows3.imgix.net/images/articles/2016_10/northcarolina.png?auto=format,compress&cs=strip",https://i.insider.com/5c5ca317eb3ce84d94779bf3
33,North Dakota,Sunflowers, Dry beans,,,,,"https://purewows3.imgix.net/images/articles/2016_10/sunflowers.png?auto=format,compress&cs=strip",https://i.insider.com/594adee216160f1b008b456e
34,Ohio,Pawpaw, Tomatoes,,,,,"https://purewows3.imgix.net/images/articles/2016_10/ohio.png?auto=format,compress&cs=strip",https://i.insider.com/5ad0e2d5facba81e008b45af
35,Oklahoma,Peanuts, Peanuts,,,,,"https://purewows3.imgix.net/images/articles/2016_10/peanuts.png?auto=format,compress&cs=strip",https://i.insider.com/527b91b86bb3f77155df1749
36,Oregon,Hops, Hazelnuts,,,,,"https://purewows3.imgix.net/images/articles/2016_10/hops.png?auto=format,compress&cs=strip",https://i.insider.com/5a78d5aa5c96b033008b4623
37,Pennsylvania,Mushrooms, Peaches,,,,,"https://purewows3.imgix.net/images/articles/2016_10/shroom.png?auto=format,compress&cs=strip",https://i.insider.com/5c5ca710eb3ce815e519c154
38,Rhode Island,RI Greening Apples, Corn,,,,,"https://purewows3.imgix.net/images/articles/2016_10/rhodeisland.png?auto=format,compress&cs=strip",https://i.insider.com/5b48b96820e3a826008b4621
39,South Carolina,Collard Greens, Melons,,,,,"https://purewows3.imgix.net/images/articles/2016_10/collard.png?auto=format,compress&cs=strip",https://i.insider.com/5c06de695930f85fbd2bce42
40,South Dakota,Flaxseed, Flaxseed,,,,,"https://purewows3.imgix.net/images/articles/2016_10/slaxseed.png?auto=format,compress&cs=strip",https://i.insider.com/5a99ca0d283ef757008b45b9
41,Tennessee,Jack Daniel's Whiskey, Tomatoes,,,,,"https://purewows3.imgix.net/images/articles/2016_10/whiskey.png?auto=format,compress&cs=strip",https://i.insider.com/5c5cac7aeb3ce80ecc0fe9d7
42,Texas,Pecans , Rice,,,,,"https://purewows3.imgix.net/images/articles/2016_10/pean.png?auto=format,compress&cs=strip",https://i.insider.com/5c5cade5eb3ce801d74fe223
43,Utah,Barley, Tart cherries,,,,,"https://purewows3.imgix.net/images/articles/2016_10/barley.png?auto=format,compress&cs=strip",https://i.insider.com/5666033cc2814424008b8251
44,Vermont,Maple Syrup, Maple syrup,,,,,"https://purewows3.imgix.net/images/articles/2016_10/syrup.png?auto=format,compress&cs=strip",https://i.insider.com/5a7e1a97daa01798018b466e
45,Virginia,Grapes, Apples,,,,,"https://purewows3.imgix.net/images/articles/2016_10/grapes.png?auto=format,compress&cs=strip",https://i.insider.com/5ad6601858702a30518b4580
46,Washington,Apples, Strawberries (and many others),,,,,"https://purewows3.imgix.net/images/articles/2016_10/apple1.png?auto=format,compress&cs=strip",https://i.insider.com/5c5cb15deb3ce810346c7964
47,West Virginia,Golden Delicious Apples, Peaches,,,,,"https://purewows3.imgix.net/images/articles/2016_10/golden.png?auto=format,compress&cs=strip",https://i.insider.com/5c5ca710eb3ce815e519c154
48,Wisconsin,Sweet Corn, Peas,,,,,"https://purewows3.imgix.net/images/articles/2016_10/corn1.png?auto=format,compress&cs=strip",https://i.insider.com/5c5cb2f9eb3ce802d6635bc5
49,Wyoming,Livestock, Corn,,,,,"https://purewows3.imgix.net/images/articles/2016_10/cow.png?auto=format,compress&cs=strip",https://i.insider.com/5ace3cedfacba81f008b462a
